Question,Solution
"70 calories of heat are required to raise the temperature of 2 moles of an ideal gas at constant pressure from 30°C to 35°C. The amount of heat required (in calorie) to raise the temperature of the same gas through the same range (30°C to 35°C) at constant volume is
30
50
70
90","Q = nCpdT, Cp = Q/ndT = 70/2x(35 – 30), Cp = 70/(2×5), Cp = 7 cal/mol x K, Now, Cv = Cp – R, Cv = 7-2 =5 cal/mol x K, Q’ = nCvdT = 2 x 5 x 5 =50 cal, Answer: (2) 50"
"“Heat cannot by itself flow from a body at a lower temperature to a body at a higher temperature” is a statement or consequence of
A. The second law of thermodynamics
B. conservation of momentum
C. conservation of mass
D. The first law of thermodynamics",Second law of thermodynamics.
"Which of the following is incorrect regarding the first law of thermodynamics?
A. It introduces the concept of internal energy
B. It introduces the concept of entropy
C. It is not applicable to any cyclic process
D. It is a restatement of the principle of conservation of energy",Statements (b) and (c) are incorrect regarding the first law of thermodynamics.
"Which of the following statements is correct for any thermodynamic system?
A. The internal energy changes in all processes
B. Internal energy and entropy are state functions
C. The change in entropy can never be zero
D. The work done in an adiabatic process is always zero",Internal energy and entropy are state functions
"Which of the following parameters does not characterize the thermodynamic state of matter?
A. temperature
B. pressure
C. work
D. volume",The work does not characterize the thermodynamic state of matter
"Even a Carnot engine cannot give 100% efficiency because we cannot
A. prevent radiation
B. find ideal sources
C. reach absolute zero temperature
D. eliminate friction.",We cannot reach absolute zero temperature
"Which statement is incorrect?
A. All reversible cycles have the same efficiency
B. The reversible cycle has more efficiency than an irreversible one
C. Carnot cycle is a reversible one
D. Carnot cycle has the maximum efficiency in all cycles",All reversible cycles do not have the same efficiency.
"A Carnot engine operating between temperatures T1 and T2 has efficiency 1/6. When T2 is lowered by 62 K, its efficiency increases to ⅓. Then T1 and T2 are, respectively
A. 372 K and 310 K
B. 372 K and 330 K
C. 330 K and 268 K
D. 310 K and 248 K","The efficiency of Carnot engine, η =1- (T2/T1), η = ⅙, T2/T1  = ⅚, T1  = 6T2/5 ————–(1), As per the question, when T2 is lowered by 62 K, then its efficiency becomes 1/3, ⅓ = [1 – (T2 -62/T1)]
[T2 -62/T1 ] = 1-(⅓) (Using equa (1)), 5(T2 -62)/6T2= ⅔, 5T2 – 310 = 4T2 ⇒ T2= 310 K, From equation (1) T1 = (6 x 310)/5 = 372 K"
"100 g of water is heated from 30 °C to 50 °C. Ignoring the slight expansion of the water, the change in its internal energy is (specific heat of water is 4184 J kg–1 K–1)
A. 4.2 kJ
B. 8.4 kJ
C. 84 kJ
D. 2.1 kJ","ΔQ = msΔT, Here m = 100 g = 100 x10-3 Kg, S = 4184 J kg-1K-1 and ΔT = (50 – 30) = 20 0C, ΔQ = 100 x 10-3 x 4184 x 20 = 8.4 x 103 J, ΔQ = ΔU + ΔW, Change in internal energy, ΔU = ΔQ = 8.4 x 103 J = 8.4 kJ"
"200 g water is heated from 40° C to 60 °C. Ignoring the slight expansion of water, the change in its internal energy is close to (Given specific heat of water = 4184 J/kg/K)
A. 167.4 kJ
B. 8.4 kJ
C. 4.2 kJ
D. 16.7 kJ","For isobaric process, ΔU = Q = msΔT, Here, m = 200 g = 0.2 Kg, s = 4184 J/Kg/K, ΔT = 60 0C – 40 0C = 20 0C, ΔU = (0.2 )(4184)(20) =16736 J = 16.7 kJ"
"From the following statements, concerning ideal gas at any given temperature T, select the correct.
A. The coefficient of volume expansion at constant pressure is the same for all ideal gases
B. The average translational kinetic energy per molecule of oxygen gas is 3kT, k being Boltzmann constant
C. The mean-free path of molecules increases with an increase in the pressure
D. In a gaseous mixture, the average translational kinetic energy of the molecules of each component is different","γ = dV/(V0 x dT) at a constant temperature, γ = 1/V0(dV/dT)p since PV = RT, PdV = RdT or (dV/dT) = R/P0, Therefore, γ = (1/V0)(R/P0) = R/RT0, γ = 1/T0, γ = 1/273"
"Calorie is defined as the amount of heat required to raise the temperature of 1 g of water by 1 °C and it is defined under which of the following conditions?
A. From 14.5 °C to 15.5 °C at 760 mm of Hg
B. From 98.5 °C to 99.5 °C at 760 mm of Hg
C. From 13.5 °C to 14.5 °C at 76 mm of Hg
D. From 3.5 °C to 4.5 °C at 76 mm of Hg",1 calorie is the amount of heat required to raise the temperature of 1gm of water from 14.5 0C to 15.5 0C at 760 mm of Hg
"The average translational kinetic energy of 02 (molar mass 32) molecules at a particular temperature is 0.048 eV. The translational kinetic energy of N2 (molar mass 28) molecules in eV at the same temperature is
A. 0.0015
B. 0.003
C. 0.048
D. 0.768","Average Kinetic Energy = (3/2)KT, It depends on temperature and does not depend on molar mass, For both the gases, average translational kinetic energy will be the same ie.,0.048 eV"
"One mole of a monoatomic gas is heated at a constant pressure of 1 atmosphere from OK to 100K. If the gas constant R=8.32 J/mol K, the change in internal energy of the gas is approximately [1998]
A. 2.3 J
B. 46 J
C. 8.67 × 103J
D. 1.25 x l03J","ΔU = nCvdT =1x (3R/2)ΔT, ΔU = (3/2) x (8.3) x (100) = 1.25 x 103 J"
"An ideal gas heat engine is operating between 227 °C and 127 °C. It absorbs 104J of heat at a higher temperature. The amount of heat converted into work is
A. 2000 J
B. 4000 J
C. 8000 J
D. 5600 J","η =1- (T2/T1), η =1- (127 + 273)/(227 + 273) = 1 – (400/500) = ⅕, W = ηQ1 = ⅕ x 104 = 2000 J"
"A particle executes simple harmonic motion with an amplitude of 5 cm. When the particle is at 4 cm from the mean position, the magnitude of its velocity in SI units is equal to that of its acceleration. Then, its periodic time in second is
A. 8π/3
B. 4π/3
C. 3π/8
D. 7π/3","In SHM, speed v=ω√(A²-x²). At x = 4, v = ω√[(5)² – (4)²] = 3ω. Acceleration a = – ω²x. At x = 4, a = – 4ω². |v| = |a| => ω =3/4⇒T = 2π/ω = 8π/3"
"A cylindrical plastic bottle of negligible mass is filled with 310 mL of water and left floating in a pond with still water. If pressed downward slightly and released, it starts performing simple harmonic motion at angular frequency. If the radius of the bottle is 2.5 cm then ω is close to (density of water = 103 kg/m3)
A. 2.50 rad s–1
B. 3.75 rad s–1
C. 5.00 rad s–1
D. 1.25 rad s–1","Restoring force due to pressing the bottle with amount x, F = -(ρAx)g. a = -(ρAg/m)x. Therefore, ω² = ρAg/m = [ρ(πr²)g]/m. ω = √(10³×π×(2.5 × 10⁻²)²×10)/(310×10⁻³). None of the options given are correct"
"A particle undergoing simple harmonic motion has time-dependent displacement given by x(t) = Asin(πt/90). The ratio of kinetic to the potential energy of this particle at t = 210 s will be
A. 1/ 3
B. 2
C. 1
D. 3","The maximum kinetic energy of the particle, K.E = (½)mA²ω²cos²ωt. The potential energy of the particle at any time t, U = (½)mA²ω²sin²ωt. The ratio of kinetic energy to potential energy, r = K.E/U = [(½)mA²ω²cos²ωt]/[(½)mA²ω²sin²ωt] = cos²ωt/sin²ωt = cot² ωt. The angular frequency is given as ω = π/90. Time, t = 210 s. Therefore, r = cot² (π/90) 210 = cot² (7 π/3) = cot² (2 π + π/3). We know, cot (2nπ + θ ) = cot θ. Therefore, r = cot² (π/3) = (1/√3)² = 1/3"
"A pendulum is executing simple harmonic motion and its maximum kinetic energy is K1. If the length of the pendulum is doubled and it performs simple harmonic motion with the same amplitude as in the first case, its maximum kinetic energy is K2. Then
A. K2 = K1
B. K2 = K1/2
C. K2 = 2K1
D. K2 = K1/4","Maximum kinetic energy = (1/2) mω²A². ω = √g/√L. A = Lθ. K.E = (1/2) m (g/L) (L²θ²). K1 = (1/2) m g Lθ². If the length is doubled K2 = (1/2) m g 2Lθ². From (1) and (2), (K1/K2) = (1/2) m g Lθ²/(1/2) m g 2Lθ² = 1/2. K2 = 2K1"
"A simple pendulum of length 1 m is oscillating with an angular frequency 10 rad/s. The support of the pendulum starts oscillating up and down with a small angular frequency of 1 rad/s and an amplitude of 10–2 m. The relative change in the angular frequency of the pendulum is best given by
A. 10–5 rad/s
B. 10–1 rad/s
C. 1 rad/s
D. 10–3 rad/s",Angular frequency of the pendulum ω = √(geff/l). (Δω/ω) = (½)(Δgeff/geff). (Δω/ω) = (½)(2Aωs²/g). Δω/ω= (Aωs²/g) = (12 x 10⁻²/10)= 10⁻³
"A damped harmonic oscillator has a frequency of 5 oscillations per second. The amplitude drops to half its value for every 10 oscillations. The time it will take to drop to 1/1000 of the original amplitude is close to
A. 100 s
B. 10 s
C. 20 s
D. 50 s","Frequency of damped oscillation, f = 5 Hz. For A=A/2, t1 =2s. Also, A = A0e-(b/2m)t or ½ = e-(b/2m)2. (b/m )= In 2. For A = A/1000, t2 = ?. 1/1000 = e-(b/2m)t2. Or 10⁻³ = e-(b/2m)t2. (b/2m)t2 = 3In 10 or t2= 6In10/In2. t2= 20 s"
"A resonance tube is old and has a jagged end. It is still used in the laboratory to determine the velocity of sound in the air. A tuning fork of frequency 512 Hz produces the first resonance when the tube is filled with water to a mark 11 cm below a reference mark, near the open end of the tube. The experiment is repeated with another fork of frequency 256 Hz which produces the first resonance when water reaches a mark 27 cm below the reference mark. The velocity of sound in air, obtained in the experiment, is close to
A. 335 m s–1
B. 322 m s–1
C. 328 m s–1
D. 341 m s–1","Due to the jagged end, (λ1/4) = 11 cm, so v/(512 x 4) = 11 cm——-(1). (λ2/4) = 27 cm, so v/(256 x 4) = 27 cm ——(2). (2) – (1), v/(512 x 4) = 0.16. v = 328 ms⁻¹"
"Two simple harmonic motions, as shown here, are at right angles. They are combined to form Lissajous figures. x(t) = A sin (at + δ), y(t) = B sin (bt). Identify the correct match below.
","x = Asin(at + ઠ), y = ABsin(bt). If a = b, x = A [sin(at).cosઠ + cos(at).sinઠ). Sin (at) = y/B. (x/A)=(y/A)cosδ + √(1-(y²/B²))sinδ. ((x/A)-(y/B)cosδ)²=(1 – (y²/B²))sin²δ. (x²/A²)+(y²/B²)-(2xy/AB).cosδ = sin²δ. If ઠ = π /2 , (x²/A²)+(y²/B²) =1. For A = B, a =2b and ઠ =π /2, x² + y² = A² (Circle). For A ≠ B, a =b and ઠ = 0 (Parabola). For A≠ B, a =b and ઠ =π /2 (Ellipse)"
"In an engine, the piston undergoes vertical simple harmonic motion with amplitude 7 cm. A washer rests on top of the piston and moves with it. The motor speed is slowly increased. The frequency of the piston at which the washer no longer stays in contact with the piston is close to
A. 0.7 Hz
B. 1.9 Hz
C. 1.2 Hz
D. 0.1 Hz","The amplitude of S.H.M., A = 7 cm = 0.07 m. As the washer does not stay in contact with the piston, at some particular frequency i.e. normal force on the washer = 0. Maximum acceleration of washer = Aω² = g. ω = √(g/A)=√(10/0.07)=√(1000/7). Frequency of the piston, v = ω/2π = (1/2π)√(1000/7)"
"A toy-car, blowing its horn, is moving with a steady speed of 5 m/s, away from a wall. An observer, towards whom the toy car is moving, is able to hear 5 beats per second. If the velocity of sound in air is 340 m/s, the frequency of the horn of the toy car is close to
A. 680 Hz
B. 510 Hz
C. 340 Hz
D. 170 Hz","vair = 340 m/s, v = 5m/s. f1 – f2 = 5 beats per second. Apparently frequency heard by the observer on reflection from the wall, f1 = [v/(v-vs)]f = [340/(340-5)]f = (340/335)f. f2 = [v/(v+vs)]f = [340/(340+5)]f = (340/345)f. Since f1 – f2 = 5"
"A silver atom in a solid oscillates in simple harmonic motion in some direction with a frequency of1012 s–1. What is the force constant of the bonds connecting one atom with the other? (Mole wt. of silver 108 and Avogadro number 6.02 × 1023 gm mole–1)
A. 6.4 N m–1
B. 7.1 N m–1
C. 2.2 N m–1
D. 5.5 N m–1","Frequency of a particle executing SHM, f= (1/2π)√(k/m). k = 4π² x f² x m. Here, f = 10¹² s⁻¹, m= [108/(6.02 x 10²³)] x 10⁻³ Kg. k = 4 x (3.14)² x (10¹²)² x [108 x 10⁻³/6.02 x 10²³] = 7.1 Nm⁻¹"
"The ratio of maximum acceleration to maximum velocity in a simple harmonic motion is 10 s–1. At, t = 0 the displacement is 5 m. What is the maximum acceleration? The initial phase is π/4
A. 500√2 m/s2
B. 500 m/s2
C. 750√2 m/s2
D. 750 m/s2","For simple harmonic motion, Maximum acceleration/Maximum velocity = 10⇒ ω²a/ωa =10 or ω=10. At t = 0; displacement, x = 5. x = a sin (ωt + Φ). 5 = asin(0 + π/4) or 5 = asin(π/4) or a = 5√2 m. Maximum acceleration = ω²a = 10² x 5√2 = 500√2 ms⁻²"
"A child swinging on a swing in sitting position, stands up, then the time period of the swing will
A. increase
B. decrease
C. remains the same
D. increases if the child is long and decreases if the child is short","The time period will decrease. When the child stands up, the centre of gravity is shifted upwards and so the length of swing decreases. T= 2π√(l/g)"
"The length of a simple pendulum executing simple harmonic motion is increased by 21%. The percentage increase in the time period of the pendulum of increased length is
A. 11%
B. 21%
C. 42%
D. 10%.",Let the lengths of pendulum be (100l) and (121l). T’/T=√(121/100). T’ = 1.1T. Fractional change = (T’ – T)/T = [(1.1T- T)/T] x 100. Percentage change = 10%.
"In a simple harmonic oscillator, at the mean position
A. kinetic energy is minimum, potential energy is maximum
B. both kinetic and potential energies are maximum
C. kinetic energy is maximum, potential energy is minimum
D. both kinetic and potential energies are minimum","kinetic energy is maximum, potential energy is minimum"
"A wave y = a sin(ωt – kx) on a string meets with another wave producing a node at x = 0. Then the equation of the unknown wave is
(a) y = asin(ωt + kx)
(b) y = –asin(ωt + kx)
(c) y = asin(ωt – kx)","Consider option (a): Stationary wave: Y = asin(ωt + kx) + asin(ωt – kx), when, x = 0, Y is not zero. The option is not acceptable. Consider option (b): Stationary wave: Y = asin(ωt – kx) – asin(ωt + kx) At x = 0, Y = a sinωt – asinωt = zero. This option holds good. Option (c) gives Y = asin(ωt – kx)+ asin(ωt – kx), Y = 2asinωt  (At x = 0, Y is not zero). Hence only option (b) holds good. Answer: (b) y = –asin(ωt + kx)"
"The displacement y of a wave travelling in the x-direction is given by y = 10-4sin(600t – 2x+ π/3) metre, where x is expressed in metre and t in second. The speed of the wave-motion, in m s–1 is
(a) 300
(b) 600
(c) 1200
(d) 200","Given wave equation: y= 10-4 sin (600t – 2x + π/3)m. Standard wave equation: y = asin(ωt – kx + Φ). Compare them. Angular speed, ω = 600 sec-1. Propagation constant, k = 2m-1. ω/k = (2πf)/(2π/λ) = fλ = velocity. Since velocity = ω/k = 600/2 = 300 m/sec. Answer: (a) 300"
"A string is stretched between fixed points separated by 75 cm. It is observed to have resonant frequencies of 420 Hz and 315 Hz. There are no other resonant frequencies between these two. Then, the lowest resonant frequency for this string is
(a) 10.5 Hz
(b) 105 Hz
(c) 1.05 Hz
(d) 1050 Hz.","For the string fixed at both the ends, resonant frequency are given by f = nv/2L, where symbols have their usual meanings. lt is given that 315 Hz and 420 Hz are two consecutive resonant frequencies, let these be nth and (n + 1)the harmonics. 315 = nv/2L———(1), 420 = (n+1)v/2L —(2). Dividing equation (1) by equation (2) we get n = 3. From equation (1), lowest resonant frequency f0 = v/2L = 315/3 = 105 Hz. Answer: (b) 105 Hz"
"The transverse displacement y(x,t) of a wave on a string is given by y(x,t)=e^{-(ax^{2}+bt^{2}+2\sqrt{ab}xt)}. This represents a
(a) wave moving in +x-direction with speed √(a/b)
(b) wave moving in –x-direction with speed √(b/a)
(c) standing wave of frequency √b
(d) standing wave of frequency 1/√b","Given the equation y(x,t)=e^{-(ax^{2}+bt^{2}+2\sqrt{ab}xt)}…..(1), y(x,t)=e^{-(\sqrt{a}x+\sqrt{b}t)^{2}}. Comparing equation (1) with standard equation y(x, t) = f (ax + bt). As there is a positive sign between x and t terms, hence wave travel in –x direction. Wave speed= Coefficient of t/Coefficient of x = √(b/a). Answer: (b) wave moving in –x-direction with speed √(b/a)"
